Construct,Mean,Median,SD,IQR,CI_95_low,CI_95_high,Cronbach_Alpha,McDonald_Omega,Wilcoxon_ES_r,Wilcoxon_p
Perceived Usefulness (PU),4.4,4.25,0.48,0.88,4.23,4.56,0.85,0.906,1.0,0.0
Perceived Ease of Use (PEOU),4.12,4.0,0.55,0.75,3.94,4.31,0.73,0.862,0.99,0.0
Behavioral Intention (BI),4.72,5.0,0.4,0.5,4.58,4.85,0.874,0.927,1.0,0.0
Εμπιστοσύνη στην AI,2.97,3.0,0.62,0.67,2.76,3.19,0.665,0.822,-0.068,0.7629
Ποιότητα Εξόδου,3.45,3.67,0.54,0.67,3.28,3.63,0.377,0.715,0.81,0.0004
Αυτοπεποίθηση Λήψης Αποφάσεων,3.91,4.0,0.68,0.5,3.67,4.14,0.925,0.954,0.884,0.0
Εξοικονόμηση Χρόνου,4.51,4.67,0.52,1.0,4.34,4.68,0.869,0.92,1.0,0.0
Βελτίωση Ποιότητας Εργασίας,4.13,4.0,0.45,0.33,3.98,4.28,0.589,0.775,1.0,0.0
Πραγματική Χρήση AI,4.35,4.0,0.49,0.83,4.19,4.52,0.858,0.923,1.0,0.0
Ανάγκη Ανθρώπινης Επίβλεψης,4.35,4.67,0.56,1.17,4.15,4.55,0.187,0.7,1.0,0.0
