Construct,Item,CITC,Alpha_if_Deleted,Omega_if_Deleted
Perceived Usefulness (PU),Q11,0.755,0.786,0.881
Perceived Usefulness (PU),Q12,0.557,0.884,0.929
Perceived Usefulness (PU),Q13,0.679,0.811,0.896
Perceived Usefulness (PU),Q14,0.856,0.755,0.868
Perceived Ease of Use (PEOU),Q15,0.516,0.632,0.837
Perceived Ease of Use (PEOU),Q16,0.356,0.697,0.863
Perceived Ease of Use (PEOU),Q17,0.733,0.581,0.804
Perceived Ease of Use (PEOU),Q18,0.36,0.793,0.886
Behavioral Intention (BI),Q19,0.774,0.779,0.901
Behavioral Intention (BI),Q20,0.834,0.719,0.879
Behavioral Intention (BI),Q21,0.633,0.955,0.978
Εμπιστοσύνη στην AI,Q22,0.509,0.623,0.843
Εμπιστοσύνη στην AI,Q23,0.51,0.453,0.792
Εμπιστοσύνη στην AI,Q24,0.447,0.618,0.843
Ποιότητα Εξόδου,Q25,0.42,0.023,0.672
Ποιότητα Εξόδου,Q26,0.199,0.278,0.739
Ποιότητα Εξόδου,Q27,0.12,0.578,0.826
Αυτοπεποίθηση Λήψης Αποφάσεων,Q28,0.682,0.93,0.966
Αυτοπεποίθηση Λήψης Αποφάσεων,Q29,0.766,0.878,0.943
Αυτοπεποίθηση Λήψης Αποφάσεων,Q30,0.78,0.869,0.94
Εξοικονόμηση Χρόνου,Q31,0.756,0.811,0.914
Εξοικονόμηση Χρόνου,Q32,0.802,0.83,0.923
Εξοικονόμηση Χρόνου,Q33,0.776,0.803,0.911
Βελτίωση Ποιότητας Εργασίας,Q34,0.229,0.762,0.894
Βελτίωση Ποιότητας Εργασίας,Q35,0.509,0.286,0.739
Βελτίωση Ποιότητας Εργασίας,Q36,0.6,0.212,0.719
Πραγματική Χρήση AI,Q37,0.867,0.703,0.876
Πραγματική Χρήση AI,Q38,0.774,0.781,0.907
Πραγματική Χρήση AI,Q39,0.637,0.931,0.967
Ανάγκη Ανθρώπινης Επίβλεψης,Q40,0.057,0.149,0.726
Ανάγκη Ανθρώπινης Επίβλεψης,Q41,0.275,-0.021,0.0
Ανάγκη Ανθρώπινης Επίβλεψης,Q42,0.096,0.595,0.833
