Construct,Item,Avg_InterItem_r,Flag
Perceived Usefulness (PU),Q11,0.665,
Perceived Usefulness (PU),Q12,0.5,
Perceived Usefulness (PU),Q13,0.618,
Perceived Usefulness (PU),Q14,0.719,
Perceived Ease of Use (PEOU),Q15,0.1,
Perceived Ease of Use (PEOU),Q16,0.043,
Perceived Ease of Use (PEOU),Q17,-0.56,⚠ ΠΙΘΑΝΟ REVERSE
Perceived Ease of Use (PEOU),Q18,-0.036,
Behavioral Intention (BI),Q19,0.741,
Behavioral Intention (BI),Q20,0.778,
Behavioral Intention (BI),Q21,0.604,
Εμπιστοσύνη στην AI,Q22,-0.025,
Εμπιστοσύνη στην AI,Q23,-0.413,⚠ ΠΙΘΑΝΟ REVERSE
Εμπιστοσύνη στην AI,Q24,-0.002,
Ποιότητα Εξόδου,Q25,0.303,
Ποιότητα Εξόδου,Q26,0.204,
Ποιότητα Εξόδου,Q27,0.099,
Αυτοπεποίθηση Λήψης Αποφάσεων,Q28,0.669,
Αυτοπεποίθηση Λήψης Αποφάσεων,Q29,0.738,
Αυτοπεποίθηση Λήψης Αποφάσεων,Q30,0.747,
Εξοικονόμηση Χρόνου,Q31,0.699,
Εξοικονόμηση Χρόνου,Q32,0.728,
Εξοικονόμηση Χρόνου,Q33,0.709,
Βελτίωση Ποιότητας Εργασίας,Q34,0.212,
Βελτίωση Ποιότητας Εργασίας,Q35,0.371,
Βελτίωση Ποιότητας Εργασίας,Q36,0.444,
Πραγματική Χρήση AI,Q37,0.768,
Πραγματική Χρήση AI,Q38,0.721,
Πραγματική Χρήση AI,Q39,0.618,
Ανάγκη Ανθρώπινης Επίβλεψης,Q40,0.211,
Ανάγκη Ανθρώπινης Επίβλεψης,Q41,0.314,
Ανάγκη Ανθρώπινης Επίβλεψης,Q42,0.123,
