C1,C2,rho,p,Sig,ES
Perceived Usefulness (PU),Perceived Ease of Use (PEOU),0.276,0.1324,,s
Perceived Usefulness (PU),Behavioral Intention (BI),0.547,0.0015,**,L
Perceived Usefulness (PU),Εμπιστοσύνη στην AI,0.262,0.1546,,s
Perceived Usefulness (PU),Ποιότητα Εξόδου,0.197,0.287,,s
Perceived Usefulness (PU),Αυτοπεποίθηση Λήψης Αποφάσεων,0.419,0.0189,*,M
Perceived Usefulness (PU),Εξοικονόμηση Χρόνου,0.647,0.0001,**,L
Perceived Usefulness (PU),Βελτίωση Ποιότητας Εργασίας,0.676,0.0,**,L
Perceived Usefulness (PU),Πραγματική Χρήση AI,0.485,0.0056,**,M
Perceived Usefulness (PU),Ανάγκη Ανθρώπινης Επίβλεψης,-0.01,0.9558,,s
Perceived Ease of Use (PEOU),Behavioral Intention (BI),0.22,0.2348,,s
Perceived Ease of Use (PEOU),Εμπιστοσύνη στην AI,-0.025,0.8941,,s
Perceived Ease of Use (PEOU),Ποιότητα Εξόδου,-0.065,0.7294,,s
Perceived Ease of Use (PEOU),Αυτοπεποίθηση Λήψης Αποφάσεων,0.134,0.471,,s
Perceived Ease of Use (PEOU),Εξοικονόμηση Χρόνου,0.303,0.0971,,M
Perceived Ease of Use (PEOU),Βελτίωση Ποιότητας Εργασίας,0.06,0.7478,,s
Perceived Ease of Use (PEOU),Πραγματική Χρήση AI,0.3,0.1013,,s
Perceived Ease of Use (PEOU),Ανάγκη Ανθρώπινης Επίβλεψης,-0.453,0.0105,*,M
Behavioral Intention (BI),Εμπιστοσύνη στην AI,0.08,0.6691,,s
Behavioral Intention (BI),Ποιότητα Εξόδου,0.247,0.181,,s
Behavioral Intention (BI),Αυτοπεποίθηση Λήψης Αποφάσεων,0.476,0.0068,**,M
Behavioral Intention (BI),Εξοικονόμηση Χρόνου,0.688,0.0,**,L
Behavioral Intention (BI),Βελτίωση Ποιότητας Εργασίας,0.394,0.0284,*,M
Behavioral Intention (BI),Πραγματική Χρήση AI,0.394,0.0283,*,M
Behavioral Intention (BI),Ανάγκη Ανθρώπινης Επίβλεψης,-0.056,0.7637,,s
Εμπιστοσύνη στην AI,Ποιότητα Εξόδου,0.499,0.0043,**,M
Εμπιστοσύνη στην AI,Αυτοπεποίθηση Λήψης Αποφάσεων,0.184,0.3205,,s
Εμπιστοσύνη στην AI,Εξοικονόμηση Χρόνου,-0.001,0.9963,,s
Εμπιστοσύνη στην AI,Βελτίωση Ποιότητας Εργασίας,0.103,0.5815,,s
Εμπιστοσύνη στην AI,Πραγματική Χρήση AI,-0.058,0.7568,,s
Εμπιστοσύνη στην AI,Ανάγκη Ανθρώπινης Επίβλεψης,0.177,0.3406,,s
Ποιότητα Εξόδου,Αυτοπεποίθηση Λήψης Αποφάσεων,0.394,0.0284,*,M
Ποιότητα Εξόδου,Εξοικονόμηση Χρόνου,0.255,0.1659,,s
Ποιότητα Εξόδου,Βελτίωση Ποιότητας Εργασίας,0.131,0.4809,,s
Ποιότητα Εξόδου,Πραγματική Χρήση AI,0.106,0.5702,,s
Ποιότητα Εξόδου,Ανάγκη Ανθρώπινης Επίβλεψης,-0.004,0.9851,,s
Αυτοπεποίθηση Λήψης Αποφάσεων,Εξοικονόμηση Χρόνου,0.662,0.0001,**,L
Αυτοπεποίθηση Λήψης Αποφάσεων,Βελτίωση Ποιότητας Εργασίας,0.464,0.0086,**,M
Αυτοπεποίθηση Λήψης Αποφάσεων,Πραγματική Χρήση AI,0.588,0.0005,**,L
Αυτοπεποίθηση Λήψης Αποφάσεων,Ανάγκη Ανθρώπινης Επίβλεψης,-0.154,0.4075,,s
Εξοικονόμηση Χρόνου,Βελτίωση Ποιότητας Εργασίας,0.689,0.0,**,L
Εξοικονόμηση Χρόνου,Πραγματική Χρήση AI,0.706,0.0,**,L
Εξοικονόμηση Χρόνου,Ανάγκη Ανθρώπινης Επίβλεψης,-0.028,0.8826,,s
Βελτίωση Ποιότητας Εργασίας,Πραγματική Χρήση AI,0.619,0.0002,**,L
Βελτίωση Ποιότητας Εργασίας,Ανάγκη Ανθρώπινης Επίβλεψης,0.204,0.2714,,s
Πραγματική Χρήση AI,Ανάγκη Ανθρώπινης Επίβλεψης,-0.104,0.5778,,s
