Construct_1,Construct_2,HTMT,Threshold_0.90,Flag
Perceived Usefulness (PU),Perceived Ease of Use (PEOU),0.276,0.9,✓ OK
Perceived Usefulness (PU),Behavioral Intention (BI),0.547,0.9,✓ OK
Perceived Usefulness (PU),Εμπιστοσύνη στην AI,0.262,0.9,✓ OK
Perceived Usefulness (PU),Ποιότητα Εξόδου,0.197,0.9,✓ OK
Perceived Usefulness (PU),Αυτοπεποίθηση Λήψης Αποφάσεων,0.419,0.9,✓ OK
Perceived Usefulness (PU),Εξοικονόμηση Χρόνου,0.647,0.9,✓ OK
Perceived Usefulness (PU),Βελτίωση Ποιότητας Εργασίας,0.676,0.9,✓ OK
Perceived Usefulness (PU),Πραγματική Χρήση AI,0.485,0.9,✓ OK
Perceived Usefulness (PU),Ανάγκη Ανθρώπινης Επίβλεψης,0.01,0.9,✓ OK
Perceived Ease of Use (PEOU),Behavioral Intention (BI),0.22,0.9,✓ OK
Perceived Ease of Use (PEOU),Εμπιστοσύνη στην AI,0.025,0.9,✓ OK
Perceived Ease of Use (PEOU),Ποιότητα Εξόδου,0.065,0.9,✓ OK
Perceived Ease of Use (PEOU),Αυτοπεποίθηση Λήψης Αποφάσεων,0.134,0.9,✓ OK
Perceived Ease of Use (PEOU),Εξοικονόμηση Χρόνου,0.303,0.9,✓ OK
Perceived Ease of Use (PEOU),Βελτίωση Ποιότητας Εργασίας,0.06,0.9,✓ OK
Perceived Ease of Use (PEOU),Πραγματική Χρήση AI,0.3,0.9,✓ OK
Perceived Ease of Use (PEOU),Ανάγκη Ανθρώπινης Επίβλεψης,0.453,0.9,✓ OK
Behavioral Intention (BI),Εμπιστοσύνη στην AI,0.08,0.9,✓ OK
Behavioral Intention (BI),Ποιότητα Εξόδου,0.247,0.9,✓ OK
Behavioral Intention (BI),Αυτοπεποίθηση Λήψης Αποφάσεων,0.476,0.9,✓ OK
Behavioral Intention (BI),Εξοικονόμηση Χρόνου,0.688,0.9,✓ OK
Behavioral Intention (BI),Βελτίωση Ποιότητας Εργασίας,0.394,0.9,✓ OK
Behavioral Intention (BI),Πραγματική Χρήση AI,0.394,0.9,✓ OK
Behavioral Intention (BI),Ανάγκη Ανθρώπινης Επίβλεψης,0.056,0.9,✓ OK
Εμπιστοσύνη στην AI,Ποιότητα Εξόδου,0.499,0.9,✓ OK
Εμπιστοσύνη στην AI,Αυτοπεποίθηση Λήψης Αποφάσεων,0.184,0.9,✓ OK
Εμπιστοσύνη στην AI,Εξοικονόμηση Χρόνου,0.001,0.9,✓ OK
Εμπιστοσύνη στην AI,Βελτίωση Ποιότητας Εργασίας,0.103,0.9,✓ OK
Εμπιστοσύνη στην AI,Πραγματική Χρήση AI,0.058,0.9,✓ OK
Εμπιστοσύνη στην AI,Ανάγκη Ανθρώπινης Επίβλεψης,0.177,0.9,✓ OK
Ποιότητα Εξόδου,Αυτοπεποίθηση Λήψης Αποφάσεων,0.394,0.9,✓ OK
Ποιότητα Εξόδου,Εξοικονόμηση Χρόνου,0.255,0.9,✓ OK
Ποιότητα Εξόδου,Βελτίωση Ποιότητας Εργασίας,0.131,0.9,✓ OK
Ποιότητα Εξόδου,Πραγματική Χρήση AI,0.106,0.9,✓ OK
Ποιότητα Εξόδου,Ανάγκη Ανθρώπινης Επίβλεψης,0.004,0.9,✓ OK
Αυτοπεποίθηση Λήψης Αποφάσεων,Εξοικονόμηση Χρόνου,0.662,0.9,✓ OK
Αυτοπεποίθηση Λήψης Αποφάσεων,Βελτίωση Ποιότητας Εργασίας,0.464,0.9,✓ OK
Αυτοπεποίθηση Λήψης Αποφάσεων,Πραγματική Χρήση AI,0.588,0.9,✓ OK
Αυτοπεποίθηση Λήψης Αποφάσεων,Ανάγκη Ανθρώπινης Επίβλεψης,0.154,0.9,✓ OK
Εξοικονόμηση Χρόνου,Βελτίωση Ποιότητας Εργασίας,0.689,0.9,✓ OK
Εξοικονόμηση Χρόνου,Πραγματική Χρήση AI,0.706,0.9,✓ OK
Εξοικονόμηση Χρόνου,Ανάγκη Ανθρώπινης Επίβλεψης,0.028,0.9,✓ OK
Βελτίωση Ποιότητας Εργασίας,Πραγματική Χρήση AI,0.619,0.9,✓ OK
Βελτίωση Ποιότητας Εργασίας,Ανάγκη Ανθρώπινης Επίβλεψης,0.204,0.9,✓ OK
Πραγματική Χρήση AI,Ανάγκη Ανθρώπινης Επίβλεψης,0.104,0.9,✓ OK
