Individual_Item,Item_Label,Composite_Construct,Spearman_Rho,p_value,Significance
Q36,AI ενισχύει επαγγελματισμό,Perceived Usefulness (PU),0.609,0.0003,***
Q25,Ακρίβεια αποτελεσμάτων,Εμπιστοσύνη στην AI,0.569,0.0008,***
Q34,AI βελτιώνει ποιότητα εργασίας,Αυτοπεποίθηση Λήψης Αποφάσεων,0.563,0.001,***
Q34,AI βελτιώνει ποιότητα εργασίας,Πραγματική Χρήση AI,0.536,0.0019,**
Q36,AI ενισχύει επαγγελματισμό,Εξοικονόμηση Χρόνου,0.53,0.0022,**
Q34,AI βελτιώνει ποιότητα εργασίας,Εξοικονόμηση Χρόνου,0.529,0.0022,**
Q35,AI βελτιώνει αποτελέσματα,Εξοικονόμηση Χρόνου,0.517,0.0029,**
Q26,Συνέπεια αποτελεσμάτων,Εμπιστοσύνη στην AI,0.499,0.0043,**
Q35,AI βελτιώνει αποτελέσματα,Perceived Usefulness (PU),0.491,0.0051,**
Q36,AI ενισχύει επαγγελματισμό,Πραγματική Χρήση AI,0.472,0.0074,**
Q42,Ανασφάλεια χωρίς επίβλεψη,Perceived Ease of Use (PEOU),-0.462,0.0089,**
Q35,AI βελτιώνει αποτελέσματα,Πραγματική Χρήση AI,0.417,0.0195,*
Q35,AI βελτιώνει αποτελέσματα,Behavioral Intention (BI),0.335,0.0656,ns
Q35,AI βελτιώνει αποτελέσματα,Αυτοπεποίθηση Λήψης Αποφάσεων,0.332,0.0683,ns
Q36,AI ενισχύει επαγγελματισμό,Αυτοπεποίθηση Λήψης Αποφάσεων,0.331,0.0694,ns
Q34,AI βελτιώνει ποιότητα εργασίας,Perceived Usefulness (PU),0.33,0.0699,ns
Q27,Πληρότητα παραδοτέων,Αυτοπεποίθηση Λήψης Αποφάσεων,0.323,0.0761,ns
Q34,AI βελτιώνει ποιότητα εργασίας,Behavioral Intention (BI),0.298,0.103,ns
Q41,Ανθρώπινη επίβλεψη απαραίτητη,Perceived Ease of Use (PEOU),-0.26,0.1573,ns
Q36,AI ενισχύει επαγγελματισμό,Behavioral Intention (BI),0.259,0.16,ns
Q36,AI ενισχύει επαγγελματισμό,Εμπιστοσύνη στην AI,0.242,0.1906,ns
Q40,Ελέγχω αποτελέσματα AI,Πραγματική Χρήση AI,0.23,0.2138,ns
Q40,Ελέγχω αποτελέσματα AI,Εξοικονόμηση Χρόνου,0.23,0.2136,ns
Q42,Ανασφάλεια χωρίς επίβλεψη,Εμπιστοσύνη στην AI,0.23,0.2133,ns
